.
UPD000001,CUST00549,2025-08-05 01:56:59,state,accept,career,DELETE,2025-08-05 01:56:59,2025-09-16 01:56:59,True
UPD000002,CUST00807,2025-06-17 12:13:41,loyalty_tier,thing,most,DELETE,2025-06-17 12:13:41,2025-07-16 12:13:41,True
UPD000003,CUST00183,2025-10-03 05:19:41,phone,instead,scene,DELETE,2025-10-03 05:19:41,2025-10-10 05:19:41,False
UPD000004,CUST00155,2025-11-18 10:06:24,city,public,particularly,UPDATE,2025-11-18 10:06:24,2025-12-01 10:06:24,False
UPD000005,CUST00656,2025-08-20 07:05:44,state,later,position,INSERT,2025-08-20 07:05:44,2025-08-26 07:05:44,True
UPD000006,CUST00839,2025-12-18 23:01:44,city,fast,action,INSERT,2025-12-18 23:01:44,2026-01-11 23:01:44,True
UPD000007,CUST00039,2026-02-16 06:58:12,phone,build,thought,DELETE,2026-02-16 06:58:12,2026-04-13 06:58:12,True
UPD000008,CUST00533,2025-06-27 01:40:56,phone,or,management,INSERT,2025-06-27 01:40:56,2025-08-01 01:40:56,True
UPD000009,CUST00896,2026-01-16 08:29:20,city,science,authority,INSERT,2026-01-16 08:29:20,2026-03-11 08:29:20,True
UPD000010,CUST00877,2025-12-29 06:34:48,state,sit,candidate,UPDATE,2025-12-29 06:34:48,2026-02-07 06:34:48,False
UPD000011,CUST00388,2026-02-03 04:32:08,loyalty_tier,simple,night,INSERT,2026-02-03 04:32:08,2026-03-12 04:32:08,True
UPD000012,CUST00627,2025-10-01 16:49:17,loyalty_tier,trouble,though,DELETE,2025-10-01 16:49:17,2025-10-29 16:49:17,True
UPD000013,CUST00626,2025-12-05 23:55:41,city,people,rock,INSERT,2025-12-05 23:55:41,2026-01-07 23:55:41,False
UPD000014,CUST00405,2026-03-28 18:38:33,state,including,fact,UPDATE,2026-03-28 18:38:33,2026-05-15 18:38:33,True
UPD000015,CUST00813,2025-09-02 13:54:19,state,man,speak,INSERT,2025-09-02 13:54:19,2025-09-22 13:54:19,True
UPD000016,CUST00170,2025-12-04 18:32:52,city,allow,design,INSERT,2025-12-04 18:32:52,2026-01-19 18:32:52,False
UPD000017,CUST00191,2026-02-24 19:50:54,city,far,shake,DELETE,2026-02-24 19:50:54,2026-04-09 19:50:54,False
UPD000018,CUST00299,2025-08-30 09:39:46,phone,American,minute,INSERT,2025-08-30 09:39:46,2025-08-31 09:39:46,True
